time,pos_x,pos_y,pos_z,yaw,vel_x,vel_y,vel_z,vel_yaw,acc_x,acc_y,acc_z,acc_yaw
0.0,8.528108767892183e-17,3.378583138414022e-17,4.3499581247623427e-17,3.623492036637894e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.7792679874532746e-07,6.389034917080392e-08,6.878269469918358e-07,1.257853109837986e-07,5.336088906711726e-05,1.916299517380665e-05,0.0002059135364619727,3.7690271684684095e-05,0.010665309032608629,0.0038309517853392845,0.041009033280020424,0.007519936417423915
0.02,1.4220389195068426e-06,5.107926587431872e-07,5.467909780480445e-06,1.0026610477764234e-06,0.0002131679481884479,7.658574846737345e-05,0.0008167216890157174,0.00015003744198956013,0.021289148326089965,0.007651917398850977,0.08098037358462848,0.014931486927168188
0.03,4.794716007479996e-06,1.7228017788469221e-06,1.8337455049283672e-05,3.371787621544887e-06,0.000479003909429973,0.0001721673714093277,0.0018220910388952489,0.00033596086793165564,0.03187100377188822,0.011462691489913125,0.11992272311144846,0.022235294747994794
0.04,1.1354139323006648e-05,4.08099340733304e-06,4.319077022439704e-05,7.9635511745282e-06,0.0008504463637720826,0.00030580492202206424,0.0032117751893108075,0.0005943863387156038,0.042410361261447614,0.015263068707903775,0.15784478405810468,0.029432003098665713
0.05,2.2154240330804772e-05,7.965403554745426e-06,8.382013391879972e-05,1.5497627901949803e-05,0.0013270677611096095,0.00047739340482175836,0.004975614765448877,0.0009242460757336575,0.052906706686212314,0.01905284370220096,0.19475525862222132,0.03652225519794289
0.06,3.824464928911286e-05,1.3755008009258607e-05,0.00014391666610721687,2.6683048373893756e-05,0.0019084354102518275,0.0006868257708183654,0.007103537414472182,0.0013244787325656887,0.06335952593762657,0.022831811122182744,0.23066284900142275,0.0435066942645883
0.07,6.0670643838834426e-05,2.1827701801615597e-05,0.00022707119834588236,4.221826185718098e-05,0.002594111478922454,0.000933992917515622,0.009585557805519696,0.001794029394979191,0.0737683049071346,0.02659976561722716,0.26557625739333335,0.05038596351736394
0.08,9.047309759268223e-05,3.256027867006562e-05,0.00033677514399230033,6.279120063724532e-05,0.0033836529937596466,0.0012187836889110443,0.012411777629706628,0.002331849580929275,0.08413252948618058,0.030356501836712246,0.2995041859955772,0.05716070617503175
0.09,0.0001286884287243229,4.632841052530203e-05,0.00047642136842500907,8.907934434000996e-05,0.004276611840316005,0.0015410848754959289,0.015572385600124429,0.0029368972405586723,0.09445168556620867,0.034101814430016045,0.3324553370057786,0.0638315654563537
0.1,0.00017634854855752135,6.35066269154e-05,0.000649305059263342,0.00012174978425376344,0.005272534763058573,0.0019007812142553537,0.019057657451840796,0.003608136756197735,0.10472525903866317,0.03783549804651662,0.36443841262156196,0.07039918458009177
0.11,0.0002344808101552851,8.446829449075447e-05,0.0008586245965871918,0.00016145928765103594,0.006370963365368837,0.002297755388668178,0.022857955941899686,0.004344538942364435,0.11495273579498833,0.04155734733559203,0.3954621150405517,0.07686420676500798
0.12,0.0003041079569090085,0.00010958559646901767,0.0011074824231567693,0.00020885436211047536,0.0075714341095427205,0.0027318880287070368,0.026963730849321268,0.00514508104576436,0.12513360172662819,0.04526715694662026,0.4255351464603717,0.08322727522986419
0.13,0.00038624807112761764,0.00013922951210003733,0.0013988859146323715,0.00026457131983872366,0.008873478316790596,0.0032030577108383518,0.031365518975101966,0.0060087467452907255,0.13526734272502705,0.0489647215289794,0.45466620907864663,0.08948903319342244
0.14,0.0004819145226267148,0.0001737697961307943,0.0017357482497941399,0.0003292363419922932,0.010276622167237274,0.003711140958022322,0.03605394414221447,0.0069345261520243565,0.14535344468162917,0.05264983573204749,0.48286400509300065,0.09565012387444469
0.15,0.0005921159173177219,0.00021357495827033996,0.002120889280761822,0.00040346554299944254,0.011780386699922006,0.004256012239712926,0.04101971719560767,0.007921415809233707,0.15539139348787873,0.05632229420520257,0.5101372367010581,0.10171119049169294
0.16,0.0007178560457970259,0.0002590122426547348,0.002557036403214538,0.00048786503488205263,0.013384287812798486,0.004837543971857924,0.04625363600220672,0.008968418692374844,0.16538067503521986,0.05998189159782269,0.5364946061004432,0.10767287626392912
0.17,0.0008601338319351231,0.00031044760731198563,0.00304682542661054,0.0005830309915775035,0.015087836262734858,0.005455606516898857,0.05174658545091304,0.010074544209091457,0.1753207752150968,0.06362842255928587,0.5619448154887801,0.1135358244099152
0.18,0.0010199432814657634,0.0003682457036269836,0.0035928014444069744,0.0006895497132605503,0.016890537665513693,0.006110068183771046,0.05748953745260425,0.011238808199214854,0.18521117991895383,0.06726168173897018,0.5864965670636931,0.11930067814841315
0.19,0.001198273430575094,0.0004327698558064419,0.004197419704279647,0.0008079976906651989,0.018791892495832015,0.006800795227903592,0.06347355094013425,0.012460232934763968,0.1950513750382351,0.07088146378625368,0.6101585630228069,0.12496808069818498
0.2,0.0013961082944908055,0.0005043820403438337,0.004863046478342781,0.0009389416694065831,0.020791396087301295,0.007527651851219378,0.06968977186833314,0.013737847119945343,0.20484084646438488,0.07448756335051437,0.6329395055637453,0.13053867527799262
0.21,0.0016144268160712752,0.00058344286548433,0.005591959933368787,0.00108293871430284,0.022888538632447428,0.008290500202135065,0.07612943321400734,0.015070685891153148,0.21457908008884732,0.07807977508113033,0.654848096884133,0.13601310510659806
0.22,0.0018542028143947106,0.000670311550689737,0.006386351001008015,0.0012405362736969865,0.02508280518271077,0.009089200375561097,0.0827838549759394,0.01645779081696917,0.22426556180306656,0.08165789362747956,0.6758930391815937,0.14139201340276317
0.23,0.002116404933348296,0.0007653459061034346,0.007248324248008524,0.001412272243778795,0.0273736756484461,0.009923610412901697,0.0896444441748882,0.01789820989816282,0.23389977749848692,0.08522171363894017,0.6960830346537523,0.1466760433852501
0.24,0.002401996590217336,0.0008689023120153138,0.008179898746435847,0.0015986750329066715,0.02976062479892266,0.010793586302054866,0.09670269485358886,0.019390997567691123,0.2434812130665526,0.08877102976489015,0.7154267854982328,0.1518658382728207
0.25,0.002711935924274397,0.000981335698326714,0.009183008943892738,0.001800263625929528,0.03224312226232413,0.011698981977412395,0.10395018807675273,0.020935214690698725,0.2530093543987078,0.09230563665470759,0.7339329939126596,0.15696204128423702
0.26,0.0030471757453684597,0.0011029995240153623,0.01025950553373896,0.0020175476485086636,0.0348206325257486,0.012639649319859838,0.1113785919310673,0.022529928564517895,0.2624836873863967,0.09582532895777049,0.7516103620946569,0.16196529563826093
0.27,0.003408663482514053,0.001234245756600309,0.011411156325311023,0.0022510274314396367,0.037492614935208654,0.013615438156776549,0.1189796615251965,0.02417421291866851,0.2719036979210635,0.09932990132345693,0.7684675922418491,0.16687624455365446
