time,pos_x,pos_y,pos_z,yaw,vel_x,vel_y,vel_z,vel_yaw,acc_x,acc_y,acc_z,acc_yaw
0.0,-1.9999999999999998,-2.0,1.0000000000000047,-1.8614066446940768e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02004008016032064,-1.999997861266869,-2.0000002919117605,0.9999941507124472,-5.015780327065893e-07,0.00032050929613341316,-4.376649977790167e-05,-0.0008695426160178168,-7.4718321248882e-05,0.03199050332271643,-0.004372542678096716,-0.08538942580280072,-0.007368472085808406
0.04008016032064128,-1.9999829387092651,-2.000002331964697,0.9999544533540043,-3.9301895836834295e-06,0.0012771447617339266,-0.00017472652799448965,-0.0033540371449190635,-0.00029066782022544257,0.06360970096921048,-0.008718808486784722,-0.16154786852639283,-0.014126284690581912
0.06012024048096192,-1.999942585231325,-2.000007858556261,0.9998504340121392,-1.2989593078421235e-05,0.0028623053246266935,-0.00039232188583649286,-0.007272024559407816,-0.0006358253223777984,0.09484009707443378,-0.013035531283553094,-0.22879139159998846,-0.02029243932120143
0.08016032064128256,-1.999864309257802,-2.0000185982666996,0.999655184742175,-3.014688375273051e-05,0.005068039995335815,-0.0006959290516404094,-0.012448367100779465,-0.001098547683291679,0.1256641957733379,-0.017319444925890895,-0.2874360584528317,-0.025885937484547854
0.1002004008016032,-1.999735781732412,-2.000036264552599,0.9993452371419231,-5.764009425551253e-05,0.007886047867084429,-0.0010848591808925191,-0.018714248278910717,-0.001667571788690432,0.15606450120087456,-0.021567283271287225,-0.3377979325141365,-0.030925780687502118
0.12024048096192384,-1.9995448431161795,-2.0000625564404255,0.9989004359263104,-9.748579525151168e-05,0.011307678115794691,-0.0015583581062288824,-0.025907172872262494,-0.002332014554435022,0.1860235174919952,-0.025775780177231134,-0.3801930772131256,-0.035430970436945104
0.1402805611222445,-1.9992795103857834,-2.00009915722007,0.9983038125020103,-0.00015148669602406794,0.015323930000087811,-0.0021156063374353426,-0.03387096692788168,-0.0030813729265240343,0.21552374878165154,-0.029941669501211708,-0.4149375559790394,-0.039420508239757734
0.16032064128256512,-1.9989279840319039,-2.000147733138391,0.9975414585420687,-0.0002212392450778688,0.019925452861284,-0.0027557190614475218,-0.04245577776139853,-0.0039055238810936674,0.24454769920479502,-0.03406168510071799,-0.4423474322411032,-0.0429133956028209
0.18036072144288576,-1.9984786550575666,-2.0002099320927567,0.9966023995605332,-0.0003081412307417024,0.025102546123402528,-0.0034777461423508267,-0.05151807395702834,-0.004794724424417744,0.2730778728963774,-0.0381325608332391,-0.4627387694285301,-0.0459286340330155
0.2004008016032064,-1.9979201119764907,-2.000287382324589,0.9954784684870815,-0.0004133993817712093,0.0308451592931617,-0.004280672121380445,-0.06092064536757085,-0.005739611592907704,0.3010967739913503,-0.042151030556264096,-0.47642763097056184,-0.0484852250372225
0.22044088176352705,-1.9972411478114338,-2.000381691112905,0.9941641792416486,-0.0005380369679516353,0.03714289195997883,-0.005163416216921344,-0.07053260311440955,-0.006731202453112601,0.3285869066246654,-0.046113828127282055,-0.4837300802964184,-0.05060217012232275
0.24048096192384769,-1.9964307670925376,-2.000494443467862,0.9926566003090562,-0.0006829014007005826,0.043984993795970276,-0.006124832324508275,-0.08022937958751436,-0.007760894101719109,0.35553077493127405,-0.050017687403782034,-0.4849621808353273,-0.05229847079519719
0.2605210420841683,-1.9954781928556755,-2.0006272008242996,0.9909552283136418,-0.0008486718336707635,0.0513603645559514,-0.007163709016825764,-0.08989272844543793,-0.008820463665551519,0.38191088304612797,-0.0538593422432531,-0.4804399960165142,-0.053593128562726675
0.280561122244489,-1.9943728736407969,-2.000781499735282,0.9890618615938852,-0.0010358667633527535,0.05925755407743669,-0.00827876954370813,-0.09941072461531819,-0.009902068301571747,0.40770973510417874,-0.05763552650318436,-0.47047958926921063,-0.05450514493179218
0.3006012024048096,-1.993104490490274,-2.0009588505656413,0.9869804737770377,-0.0012448516296777407,0.06766476228063956,-0.009468671832139468,-0.10867776429287795,-0.01099824519687932,0.43290983524037807,-0.061342974041064875,-0.4553970240226364,-0.05505352140927456
0.32064128256513025,-1.9916629639472476,-2.0011607361855215,0.98471708735375,-0.0014758464166202817,0.07656983916847249,-0.01073200848625365,-0.11759456494242349,-0.012101911568711385,0.4574936875896775,-0.06497841871438371,-0.43550836370602575,-0.05525725950205476
0.3406813627254509,-1.990038461053974,-2.0013886106639207,0.9822796472527011,-0.0017289332528010503,0.08596028482654702,-0.012067306787334335,-0.12606816529684683,-0.013206364664442704,0.4814437962870286,-0.06853859438062994,-0.4111296717485988,-0.05513536071701365
0.3607214428857715,-1.9882214023501694,-2.0016438979622335,0.9796778944152267,-0.0020040640120895926,0.09582324942317369,-0.01347302869381496,-0.13401192535762363,-0.014305281761585662,0.5047426654673831,-0.07202023489729266,-0.3825770115795888,-0.05470682656103219
